name,address,lat,lng,open_hours,rest_days,limited_time,midnight,pudding,basque,tiramisu,dessert,salty_food,café,study,chat,photo,pet,wifi
竺園咖啡館,桃園市龍潭區大平里民有路267號,24.82142424,121.2399509,11:00–20:30,,1,0,0,0,0,1,1,1,0,1,0,1,1
野人獻曝咖啡館龍潭店,桃園市龍潭區新龍路114號,24.8601132,121.2157716,10:30–18:00,"Sun. ,Mon. ",0,0,0,0,0,1,0,1,1,0,0,0,0
風雨珈琲,桃園市桃園區民權路25巷12號,24.9906469,121.311007,13:00–20:00,,0,0,1,0,0,1,0,1,0,1,0,0,0
午後時光Coffee烘焙,桃園市蘆竹區南崁路178號2樓,25.0477982,121.2939693,13:00–19:00,"Tue., Wed.",0,0,0,0,0,1,0,1,0,1,0,0,0
 三火木咖啡企業社 (燊咖啡3店),桃園市桃園區幸福路87號,25.0283047,121.3017806,10:00–18:00,,0,0,0,0,0,1,0,1,1,1,0,0,0
陽台terrase2号店（慈惠店）,桃園市中壢區慈惠三街34號,24.9610942,121.2244511,11:30–21:00/星期日11:30–19:00,Mon. ,0,0,0,0,0,1,0,1,1,0,0,1,1
奕鼎咖啡,桃園縣八德區忠勇街317號,24.9650521,121.3034822,10:00–21:00,Sun.,0,0,0,0,0,0,0,1,0,0,0,0,0
Café 4 FUN 咖啡趣,桃園市桃園區信光路52號,25.0060536,121.3068685,12:00–20:30/假日11:00–20:30,,0,0,0,0,0,1,1,1,0,0,0,0,0
Bowen Coffee 伯元精品咖啡烘焙,桃園市八德區廣福路783號,24.960633,121.279673,11:00–19:00/星期六10:00–17:00,"Sun. ,Mon. ",0,0,0,0,0,1,0,1,0,0,0,0,0
日青方好Goodafter,桃園市桃園區大興路118號,25.015515,121.3100817,10:00–19:00/星期三 10:00–17:00,,0,0,0,0,0,1,0,1,0,0,0,0,1
習作咖啡部,桃園市桃園區林森路6巷37號,24.9877905,121.3203807,12:00–19:00,,0,0,0,0,1,1,0,1,0,0,0,0,0
遇見咖啡,桃園市中壢區民權路364號1樓,24.9638843,121.217329,10:00–18:00,Mon. ,0,0,0,0,0,1,1,1,0,0,0,0,0
鹿點咖啡 Luna桃園店,桃園市桃園區三元里成功路三段175號,25.00711168,121.324333,12:00–18:00/假日10:00–18:00,,0,0,0,0,0,1,0,1,0,1,1,0,0
Right Now Cafe 樂鬧咖啡,桃園市桃園區國豐六街37號,24.99104396,121.2775664,10:30–18:30,"Sun. ,Wed.",0,0,1,1,1,1,1,1,1,0,0,0,0
四季芳庭咖啡館,桃園市蘆竹區南上路3號2樓,25.0474903,121.294502,10:00–22:00,,0,0,0,0,0,1,1,1,1,1,0,0,0
豈咖啡,桃園市八德區忠勇街84巷8號,24.9600893,121.3047817,09:00–18:00,,0,0,0,0,0,1,0,1,0,1,0,0,0
紅果子手烘咖啡坊,"338桃園市蘆竹區內厝里長安路一段159巷, 9-1號",25.06447891,121.2884113,12:30–20:00,Thu.,0,0,0,0,0,1,0,1,0,0,0,0,0
ㄩㄢˊ咖啡事務所,桃園市龜山區復興二路131巷19號,25.0542323,121.3708723,11:30–19:00,Mon. ,0,0,1,1,0,1,0,1,0,0,0,0,0
路易莎咖啡桃鶯店,桃園區桃鶯路168-1號,24.9830364,121.3187402,07:00–18:00/假日08:00–19:00,,0,0,0,0,0,1,0,1,1,1,0,0,0
Jo's Corner Café,桃園市桃園區國強一街135號,24.9924875,121.2859462,10:30–18:00,,0,0,0,0,1,1,0,1,0,0,0,0,0
壹樓邊緣 First Story to Edge,桃園市中壢區興仁路二段27巷17弄31衖16號,24.96895554,121.2628322,21:00–02:00,Sat.,0,0,0,0,0,1,0,1,0,1,0,0,0
友美子珈琲Cafeyumiko,桃園區同德11街127號,25.0200918,121.2956277,11:00–19:30,,0,0,1,1,0,1,0,1,0,0,0,0,0
190 Café House 珈琲烘焙屋,桃園市桃園區慈光街51號,25.0051225,121.2979754,11:00–19:00,"Tue., Wed.",0,0,0,0,1,1,0,1,0,0,0,0,1
丹馬克咖啡,桃園縣中壢市慈惠三街157巷10號,24.9640928,121.2248487,10:30–21:00/星期五、六10:00–22:00,,0,0,0,0,0,1,0,1,1,1,0,0,1
晴耕雨讀小書院,桃園市龍潭區福龍路二段169巷181弄30衖90號,24.89215254,121.2273122,10:00–18:00,"Mon. ,Tue.",0,0,0,0,0,0,0,1,1,0,0,0,0
MINE CAFE,桃園市中壢區信義里福州路63號,24.952509,121.233213,11:00–18:30,Tue.,0,0,0,0,0,1,1,1,0,0,0,0,1
杯子咖啡烘焙店,桃園市龍潭區佳安里文化路162-1號,24.84140267,121.2408049,07:30–17:00/星期六11:00–17:00,Sun.,0,0,0,0,0,1,0,1,0,1,0,0,0
Nuageクラウド雲朵鬆餅,桃園市桃園區民生路55巷8號,24.9915661,121.3141502,11:00–19:00,Tue.,0,0,0,0,0,1,0,1,1,1,0,0,0
路易莎咖啡(桃園縣府門市),桃園市桃園區中山路426號,24.992274,121.302872,07:00–17:00/星期日07:00–13:00,,0,0,0,0,0,1,0,1,0,0,0,0,0
旅人咖啡館 桃園店,桃園市桃園區建國里大林路83號,24.98794747,121.3151452,09:30–21:00,,0,0,0,0,0,1,0,1,0,0,0,1,0
心空咖啡,桃園市中壢區文化路130巷27號,24.9749851,121.2551395,11:00–18:30,Mon. ,0,0,0,0,0,1,0,1,1,0,0,0,0
 Kingmauii 金茂宜咖啡 桃園國豐店,桃園市桃園區國豐三街159號,24.9912025,121.2784953,11:00–20:00/假日10:30–20:00,"Tue. ,Fri.",0,0,0,0,0,1,0,1,0,0,0,1,0
Numbear 13 Cafe,桃園市中壢區大仁五街32號1樓,24.9566327,121.2401476,12:00–18:00,,1,0,0,0,0,1,0,1,1,1,0,0,1
9bar,桃園市龜山區自強南路741號,24.9919307,121.3329936,13:00–18:00/星期五13:00–17:30,"Sat. ,Sun.",0,0,0,0,0,0,0,1,0,0,0,0,0
Ten past ten 咖啡豆專賣店,桃園市蘆竹區洛陽街三號,25.045488,121.292636,10:00–19:00,Fri.,0,0,0,0,0,0,0,1,0,1,0,0,0
WonderCoffee汪森市,桃園市桃園區延壽街162號,24.994237,121.289748,10:00–20:00,"Mon. ,Tue.",0,0,0,1,0,1,0,1,0,0,0,1,0
再再之在 Cafe Here Again 咖啡豆專賣店,桃園市中壢區新生路二段36號,24.9770869,121.2229662,10:00–18:00,"Sun. ,Mon. ",0,0,0,0,0,0,0,1,0,0,0,0,0
6號咖啡館,桃園市桃園區同德六街154號,25.0157472,121.2974561,11:30–20:00/星期三09:00–17:00,Mon. ,0,0,0,0,0,1,0,1,0,1,0,0,0
豆語精品咖啡烘焙坊,桃園市桃園區西門里中福街14號,24.99688386,121.3056062,12:00–18:00,,0,0,0,0,0,0,0,1,0,0,0,0,0
養親轅咖啡,桃園市中壢區環中東路二段488號,24.9462425,121.2319553,12:30–19:00/星期日14:00–19:00,Mon. ,0,0,0,0,0,1,0,1,0,1,0,1,0
日不落咖啡,桃園市中壢區新街里慈惠三街148號,24.96545436,121.2259025,星期一、二、四11:00–21:00/星期五、六11:00–22:00/星期日、11:00–18:00,Wed.,0,0,0,0,0,1,0,1,0,0,1,0,0
Think Coffee 阿信咖啡,桃園市中壢區中正路四段32號,24.9882607,121.1816536,09:00–17:00,,0,0,0,0,0,0,0,1,0,0,0,0,0
黑瓶咖啡,桃園市桃園區大興西路二段138號,25.0104179,121.296279,10:00–19:00,,0,0,0,0,0,1,0,1,0,0,0,0,1
酒豆 Chotto,桃園市中壢區福德里成功路133巷44弄22號,24.97670858,121.2585515,10:00–18:00,Wed.,0,0,0,0,0,0,0,1,0,0,0,0,1
綠沐恬拾,桃園市中壢區光明里三光路156號1 樓,24.96345242,121.21271,13:00–18:00,,0,0,0,0,0,1,0,1,0,1,0,0,0
快樂天堂自家烘焙咖啡館Happy Paradise,桃園市大溪區中正路41號,24.8830172,121.2861016,09:00–17:30,Thu.,1,0,0,0,0,1,1,1,0,1,1,1,0
星海之戀咖啡館,桃園市蘆竹區大古路228號,25.10156442,121.2890271,15:00–02:00/星期日14:00–02:00,,0,0,0,0,0,1,0,1,0,0,0,0,1
貓頭鷹法式手工甜點,桃園市八德區東勇街78號,24.9590892,121.3067697,預約制,,0,0,0,0,1,1,0,1,0,0,0,0,0
MR.DODO 豆豆先生咖啡 (平鎮店),桃園市平鎮區北華里振平街3號,24.9450511,121.2196128,11:00–18:00/星期日11:00–17:00,Mon. ,0,0,0,0,0,1,0,1,0,0,0,0,0
布納咖啡館藝文店,桃園市桃園區中正路1061號,25.015787,121.2984972,09:00–22:00,,0,0,0,0,0,1,0,1,0,0,0,0,0
MITTY COFFEE ROASTER 米堤咖啡,桃園市蘆竹區南榮里中正路109巷40號,25.04528096,121.2933432,11:30–20:00/星期四11:30–16:00,,0,0,1,0,0,1,0,1,0,0,0,1,0
Piepai Cafe’ (中壢店),桃園市中壢區普強里莒光路89號,24.95201219,121.2366486,11:00–20:00,,0,0,0,0,0,1,1,1,0,1,0,0,0
日福 OH HAPPY DAY 風禾店,桃園市桃園區文中里文中二路137號,25.00590003,121.2917251,11:00–20:00,,0,0,0,1,1,1,0,1,0,0,0,0,0
散步咖啡 La Promenade Café,桃園市中壢區三和三街24號,24.9543049,121.240703,12:00–22:00,Sun.,0,0,0,0,1,1,0,1,1,0,0,0,1
7號公路,桃園市復興區三民里詩朗道路32號,24.82566669,121.3559666,11:00–18:00/星期六、日10:00–19:00,,0,0,1,0,0,0,0,1,0,0,0,0,1
喬治的咖啡 George’s Coffee,桃園市中壢區民權路150號,24.9589545,121.2175063,11:00–20:00/星期二、五13:00–20:00/星期日11:00–18:00,,1,0,0,0,1,1,0,1,1,1,0,0,0
老窩咖啡烘培館－桃園中平店,桃園市桃園區中山里宏昌六街256號,24.9870511,121.2911583,07:00–17:00/星期六、日08:00–17:00,Mon.,0,0,0,0,0,0,0,1,0,0,0,0,0
拾事咖啡,桃園市中壢區福星六街67號,24.9662689,121.23283,11:00-21:00,,0,0,0,0,1,1,1,1,1,1,0,0,1
珀舍 Perse,桃園市中壢區興仁路一段168號,24.9694088,121.2615253,12:00–18:00,店休日請見instagram,0,0,0,0,0,1,0,1,0,0,0,0,0
豆趣咖啡,桃園市蘆竹區南山路一段212號,25.0548007,121.2908333,10:30-19:00,Mon. ,0,0,0,0,0,1,0,1,1,0,0,0,0
森鄰水岸景觀咖啡館,桃園市復興區澤仁里溪口台2號,24.81417511,121.3461396,10:00-19:00,Tue.,0,0,0,0,0,1,0,1,0,1,1,1,0
倆朵花 two flowers coffee,桃園市桃園區介壽路427號1樓,24.9787821,121.304196,12:00-17:30,Tue,0,0,0,0,1,1,0,1,0,0,0,0,0
甘日洋食行,桃園市桃園區民光東路373號,25.023882,121.2942451,9:00-20:30,,0,0,0,0,0,1,0,1,0,1,0,0,0
